Platform,PostType,PostContent,PostTimestamp,Date,WeekdayType,Time,TimePeriods,Likes,Comments,Shares,Impressions,Reach, EngagementRate ,AudienceAge,AgeGroup
LinkedIn,Video,Section admit on time section mission key.,3/7/2024 23:49,3/7/2024 (Thursday),Weekday,23:49:22,Night,624,351,176,8842,2230,57.95,53,Senior Adults
LinkedIn,Image,Option resource street may north just economic.,3/7/2024 23:39,3/7/2024 (Thursday),Weekday,23:39:46,Night,154,196,184,7710,4827,32.88,57,Senior Adults
Twitter,Link,Daughter reflect significant finish.,3/7/2024 23:19,3/7/2024 (Thursday),Weekday,23:19:45,Night,708,495,42,5667,3582,59.52,65,Senior Adults
LinkedIn,Video,Them accept again physical poor wish.,3/7/2024 23:04,3/7/2024 (Thursday),Weekday,23:04:39,Night,37,170,108,4281,4178,25.87,59,Senior Adults
Instagram,Video,Think way star question cold century general control.,3/7/2024 22:52,3/7/2024 (Thursday),Weekday,22:52:44,Night,629,145,125,7353,4013,38.28,49,Senior Adults
LinkedIn,Video,Member admit follow defense choose show author.,3/7/2024 22:44,3/7/2024 (Thursday),Weekday,22:44:00,Night,18,440,111,6833,2802,43.89,41,Mature Adults
LinkedIn,Video,What research option course member make.,3/7/2024 22:39,3/7/2024 (Thursday),Weekday,22:39:26,Night,779,330,31,3692,3265,17.73,49,Senior Adults
Twitter,Image,Listen recently network while chance up strategy.,3/7/2024 22:26,3/7/2024 (Thursday),Weekday,22:26:38,Night,729,411,11,2750,921,147.15,36,Mature Adults
LinkedIn,Video,Season same yes way little.,3/7/2024 22:24,3/7/2024 (Thursday),Weekday,22:24:44,Night,487,460,102,9822,2164,93.85,47,Senior Adults
Facebook,Video,Course tend ability camera.,3/7/2024 22:14,3/7/2024 (Thursday),Weekday,22:14:39,Night,325,82,57,5425,3569,23.94,40,Mature Adults
Twitter,Link,Rather even southern night.,3/7/2024 22:06,3/7/2024 (Thursday),Weekday,22:06:24,Night,74,375,115,6196,3342,66.17,63,Senior Adults
LinkedIn,Video,Why officer available somebody response assume place.,3/7/2024 22:02,3/7/2024 (Thursday),Weekday,22:02:01,Night,167,301,160,3206,2195,20.62,45,Mature Adults
Twitter,Video,Seem team strong low school.,3/7/2024 21:53,3/7/2024 (Thursday),Weekday,21:53:44,Evening,540,66,127,6339,4446,11.58,20,Adolescent Adults
LinkedIn,Video,Bring early property part case.,3/7/2024 21:37,3/7/2024 (Thursday),Weekday,21:37:24,Evening,54,407,59,3879,2028,41.72,33,Mature Adults
LinkedIn,Link,Then throw require discuss consumer able letter.,3/7/2024 21:26,3/7/2024 (Thursday),Weekday,21:26:34,Evening,261,48,23,3930,2960,36.03,31,Mature Adults
Facebook,Image,Take wish official happen night party enough.,3/7/2024 21:22,3/7/2024 (Thursday),Weekday,21:22:16,Evening,434,146,121,6833,2189,55.38,49,Senior Adults
Twitter,Video,Around consumer computer everyone.,3/7/2024 21:00,3/7/2024 (Thursday),Weekday,21:00:24,Evening,705,84,57,6249,4860,24.76,30,Adolescent Adults
Facebook,Link,Carry radio knowledge already physical ability might.,3/7/2024 20:39,3/7/2024 (Thursday),Weekday,20:39:03,Evening,264,136,18,4116,1290,52.83,54,Senior Adults
LinkedIn,Video,Bed indeed itself quality huge television article other.,3/7/2024 20:36,3/7/2024 (Thursday),Weekday,20:36:09,Evening,887,38,65,6252,1894,92.49,42,Mature Adults
Twitter,Link,Help adult general executive face sure.,3/7/2024 20:14,3/7/2024 (Thursday),Weekday,20:14:48,Evening,816,388,17,5773,2669,32.96,18,Adolescent Adults
Instagram,Video,Social hospital standard.,3/7/2024 19:16,3/7/2024 (Thursday),Weekday,19:16:47,Evening,750,67,67,4104,2039,60.24,30,Adolescent Adults
Instagram,Image,New pull international investment form early establish bit.,3/7/2024 18:34,3/7/2024 (Thursday),Weekday,18:34:24,Evening,745,329,2,4290,2813,12.06,57,Senior Adults
LinkedIn,Video,Month material worker key.,3/7/2024 17:26,3/7/2024 (Thursday),Weekday,17:26:15,Afternoon,989,18,84,4166,818,75.72,21,Adolescent Adults
LinkedIn,Video,Reach degree decade air address near cause.,3/7/2024 17:20,3/7/2024 (Thursday),Weekday,17:20:18,Afternoon,349,452,8,2933,1400,16.83,37,Mature Adults
Twitter,Image,Mr herself table hot.,3/7/2024 17:08,3/7/2024 (Thursday),Weekday,17:08:51,Afternoon,907,192,42,5760,1425,84.11,64,Senior Adults
Facebook,Video,Political amount too continue weight.,3/7/2024 16:59,3/7/2024 (Thursday),Weekday,16:59:32,Afternoon,568,284,24,7088,2106,43.46,51,Senior Adults
Twitter,Link,Dog high room part sort head.,3/7/2024 16:53,3/7/2024 (Thursday),Weekday,16:53:39,Afternoon,270,4,32,7727,1158,78.74,37,Mature Adults
Twitter,Video,Trip morning before water activity purpose.,3/7/2024 16:37,3/7/2024 (Thursday),Weekday,16:37:03,Afternoon,787,315,34,7561,1161,69.16,63,Senior Adults
Facebook,Link,Gas reach type break clearly father itself success.,3/7/2024 16:34,3/7/2024 (Thursday),Weekday,16:34:43,Afternoon,991,368,94,3280,1999,11.12,53,Senior Adults
Instagram,Video,Else mouth suggest step.,3/7/2024 16:30,3/7/2024 (Thursday),Weekday,16:30:48,Afternoon,679,497,66,7143,2488,30.44,49,Senior Adults
